gameId,teamId,teamTricode,teamName,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,quarter,finalPoints
22200085,1610612749,MIL,Bucks,34,73,13,28,10,13,11,26,37,19,7,4,8,12,91,7.0,3.0,123.0
22200541,1610612745,HOU,Rockets,11,18,8,12,5,5,0,12,12,7,0,1,4,6,35,8.0,1.0,88.0
22200541,1610612752,NYK,Knicks,8,21,3,12,8,11,2,6,8,6,2,0,0,2,27,-8.0,1.0,108.0
22200541,1610612745,HOU,Rockets,17,40,9,24,6,8,3,23,26,10,1,3,12,13,49,-4.0,2.0,88.0
22200541,1610612752,NYK,Knicks,15,43,6,25,17,21,5,17,22,10,4,3,4,8,53,4.0,2.0,108.0
22200541,1610612745,HOU,Rockets,25,59,13,35,7,10,5,32,37,16,2,4,19,19,70,-12.0,3.0,88.0
22200541,1610612752,NYK,Knicks,25,64,12,37,20,27,9,22,31,15,6,5,7,11,82,12.0,3.0,108.0
22200666,1610612759,SAS,Spurs,12,30,1,7,2,4,4,12,16,8,4,1,1,4,27,12.0,1.0,106.0
22200666,1610612751,BKN,Nets,6,21,0,4,3,4,2,14,16,1,1,2,7,4,15,-12.0,1.0,98.0
22200666,1610612751,BKN,Nets,19,44,1,9,12,14,3,24,27,8,4,2,11,12,51,0.0,2.0,98.0
22200666,1610612759,SAS,Spurs,18,50,4,16,11,14,6,22,28,13,6,1,8,14,51,0.0,2.0,106.0
22200666,1610612751,BKN,Nets,25,67,1,15,17,19,6,32,38,13,7,5,15,19,68,-8.0,3.0,98.0
22200666,1610612759,SAS,Spurs,27,78,5,27,17,20,12,36,48,17,8,3,11,18,76,8.0,3.0,106.0
22201034,1610612757,POR,Trail Blazers,13,26,5,9,2,3,1,9,10,9,4,2,2,4,33,13.0,1.0,107.0
22201034,1610612752,NYK,Knicks,7,22,1,8,5,7,4,10,14,4,2,4,5,3,20,-13.0,1.0,123.0
22201034,1610612752,NYK,Knicks,15,43,5,17,14,17,8,21,29,8,4,5,7,8,49,-6.0,2.0,123.0
22201034,1610612757,POR,Trail Blazers,19,49,9,20,8,9,5,16,21,14,5,3,4,9,55,6.0,2.0,107.0
22201034,1610612752,NYK,Knicks,30,64,10,25,21,28,8,32,40,16,5,8,8,11,91,10.0,3.0,123.0
22201034,1610612757,POR,Trail Blazers,28,75,12,31,13,16,8,22,30,17,5,3,7,16,81,-10.0,3.0,107.0
42200123,1610612751,BKN,Nets,8,17,3,7,9,9,1,5,6,6,1,0,3,3,28,-4.0,1.0,97.0
42200123,1610612755,PHI,76ers,13,22,4,9,2,3,2,7,9,8,1,1,1,5,32,4.0,1.0,102.0
42200123,1610612751,BKN,Nets,16,37,4,11,11,12,3,14,17,9,1,0,3,10,47,-11.0,2.0,97.0
42200123,1610612755,PHI,76ers,22,43,7,19,7,10,5,17,22,9,1,1,2,9,58,11.0,2.0,102.0
